address,lat,lon
"Алтайский край г. Барнаул, ул. Тимуровская, 15",53.378009796099995,83.7240905762
"Алтайский край г. Барнаул, ул.Тимуровская, 33",53.3845282203,83.72394204140001
"Алтайский край г. Барнаул, ул.Тимуровская, 23",53.380970158400004,83.72385621069999
"Алтайский край г. Барнаул, пр.Ленина, 68",53.3507562533,83.7751722336
"Алтайский край г. Барнаул, ул.Профинтерна, 32а",53.3593418945,83.7687911987
"Алтайский край г. Барнаул, пр.Космонавтов, 23",53.38535369939999,83.7260234356
"Алтайский край г. Барнаул, ул.Путиловская, 51",53.3543128967,83.78275299069999
"Алтайский край г. Барнаул, ул.Петра Сухова, 11",53.3784262178,83.7365269661
"Алтайский край г. Барнаул, пер. Некрасова, 65",53.347986346999996,83.7881326675
"Алтайский край г. Бийск, ул. В.Максимовой 13",52.533492915100005,85.18708705899999
"Алтайский край г. Бийск, ул. Советская, 30",52.54063797,85.2257156372
"Алтайский край г. Новоалтайск, ул. Крылова, д. 5",53.3885879517,83.9416885376
"Алтайский край г. Новоалтайск, ул. Коммунистическая, д. 4",53.398484503199995,83.9331283569
"Алтайский край г. Рубцовск, ул. Комсомольская, д. 99",51.53065966770001,81.2168008089
"Алтайский край г. Рубцовск, пр. Ленина, д. 7",51.5269622803,81.2198181152
"Алтайский край г. Рубцовск, ул. Сельмашская, д. 38А",51.4926800575,81.2135982513
"Алтайский край г. Барнаул, ул.Чудненко, 62",53.3740067597,83.7287914753
"Алтайский край г. Барнаул, ул. 50 лет СССР, 53",53.3460591187,83.6788101196
"Алтайский край г. Барнаул, Павловский тракт, 100",53.345606966000005,83.6913317442
"Алтайский край г. Барнаул, ул. Чайковского, 8",53.256382167299996,83.6964440346
"Алтайский край г. Барнаул, ул. Молодежная, 55",53.34167099,83.7609176636
"Алтайский край г. Барнаул, пр-кт Социалистический, 126",53.348978723100004,83.767250061
"Алтайский край г. Рубцовск, ул. Районная, д. 14",51.499084472700005,81.1780090332
"Алтайский край г. Рубцовск, пр. Ленина, д. 136",51.5055160522,81.2082443237
"Алтайский край г. Новоалтайск, ул. Космонавтов, д. 16",53.419166564899996,83.93509674069999
"Алтайский край г. Барнаул, ул. Горно-Алтайская, 20",53.372662590299996,83.7378787994
"Алтайский край Михайловский район, с. Михайловское, ул. Шоссейная, д. 74",51.812419891400005,79.686340332
"Алтайский край г. Барнаул, ул.Малахова, 19",53.380685372600006,83.71398568149999
"Алтайский край г. Барнаул, ул. Телефонная, 50а",53.3539009094,83.72909545899999
"Алтайский край г. Барнаул, ул.Смольная, 46",53.363751594600004,83.7914156914
"Алтайский край г. Барнаул, ул. Монтажников, 14",53.3797990046,83.6780118942
"Алтайский край г. Барнаул, пр-кт Социалистический, 68",53.3425612925,83.7785571814
"Алтайский край г. Барнаул, ул. Короленко, 13",53.33751297,83.7996139526
"Алтайский край г. Барнаул, пр-кт Красноармейский, 98",53.3439674377,83.7686080933
"Алтайский край г. Рубцовск, пр. Ленина, д. 171А",51.4997558594,81.2081451416
"Алтайский край г. Рубцовск, ул. Пролетарская, д. 412А",51.4794464111,81.2125701904
"Алтайский край г. Рубцовск, ул. Осипенко, д. 182В",51.4883445767,81.2082713842
"Алтайский край г. Рубцовск, ул. Красная, д. 99",51.4957293436,81.2039101124
"Алтайский край г. Рубцовск, пр. Ленина, д. 187",51.495586395299995,81.2071990967
"Алтайский край г. Рубцовск, пер. Гражданский, д.52",51.5036104525,81.2168973684
"Алтайский край г. Рубцовск, ул. Комсомольская, д. 134",51.528099060100004,81.2133331299
"Алтайский край г. Рубцовск, ул. Федоренко, д. 17",51.553619384799994,81.23946380619999
"Алтайский край г. Рубцовск, ул. Тракторная, д. 158",51.554651017,81.229981184
"Алтайский край г. Рубцовск, ул. Степана Разина, д. 196",51.510204315200006,81.1719207764
"Алтайский край г. Рубцовск, пер. Станционный, д. 42В",51.5191883291,81.1879885197
"Алтайский край г. Рубцовск, ул. Брусилова, д. 41",51.531413864499996,81.1994576454
"Алтайский край г. Рубцовск, ул. Алтайская, д. 112А",51.54246521,81.2340240479
"Алтайский край г. Рубцовск, пр. Ленина, д. 190",51.495723724399994,81.2057495117
"Алтайский край г. Рубцовск, ул. Рихарда Зорге, д. 121",51.507907754099996,81.1805534363
"Алтайский край г. Рубцовск, ул. Степана Разина, д. 200",51.5087203979,81.1711196899
"Алтайский край г. Рубцовск, ул. Комсомольская, д. 21",51.5444735037,81.2265855074
"Алтайский край г. Рубцовск, пер. Пионерский, д. 31",51.505066304799996,81.2178039551
"Алтайский край г. Рубцовск, ул. Карла Маркса, д. 141",51.5102882385,81.20710754390001
"Алтайский край г. Рубцовск, пер. Гражданский, д. 52",51.503864228199994,81.21635556220001
"Алтайский край г. Рубцовск, пр.  Рубцовский, д. 62",51.500507354700005,81.2121963501
"Алтайский край г. Рубцовск, ул. Комсомольская, д. 204",51.5166702271,81.20616149899999
"Алтайский край г. Рубцовск, ул. Громова, д. 29",51.516494465200005,81.2167149782
"Алтайский край г. Рубцовск, пр. Ленина, д. 48",51.521961212200004,81.2125854492
"Алтайский край г. Рубцовск, ул. Комсомольская, д. 158",51.5234680176,81.2098312378
"Алтайский край г. Рубцовск, Бульвар Победы, д. 11",51.51871490479999,81.219291687
"Алтайский край г. Рубцовск, ул. Громова, д. 7",51.5226554871,81.2207489014
"Алтайский край г. Рубцовск, пр. Ленина, д. 36",51.5241317749,81.21529388430001
"Алтайский край г. Рубцовск, тр. Новоегорьевский, д.4",51.5228385925,81.2028808594
"Алтайский край г. Рубцовск, ул. Кондратюка, д. 4",51.5233306885,81.2051467896
"Алтайский край г. Рубцовск, ул. Алтайская, д. 177",51.5474205017,81.2344055176
"Алтайский край г. Рубцовск, ул. Алтайская, д. 179",51.5499544993,81.236525774
"Алтайский край г. Рубцовск, ул. Рихарда Зорге, д. 157",51.507597240100004,81.1688911915
"Алтайский край г. Рубцовск, ул. Одесская, д. 6",51.5314979553,81.1973800659
"Алтайский край Алтайский район, с. Алтайское, ул. Советская, 97",51.94348447310001,85.3367865086
